constituency,population,region
North East Constituency 25,94730,North East
North East Constituency 26,121014,North East
North East Constituency 27,43993,North East
North West Constituency 1,76447,North West
North West Constituency 2,71041,North West
North West Constituency 3,80021,North West
North West Constituency 4,89371,North West
North West Constituency 5,92753,North West
North West Constituency 6,91065,North West
North West Constituency 7,125910,North West
North West Constituency 8,92142,North West
North West Constituency 9,65244,North West
North West Constituency 10,76019,North West
North West Constituency 11,84506,North West
North West Constituency 12,65492,North West
North West Constituency 13,78576,North West
North West Constituency 14,92557,North West
North West Constituency 15,61384,North West
North West Constituency 16,80528,North West
North West Constituency 17,90438,North West
North West Constituency 18,66554,North West
North West Constituency 19,51803,North West
North West Constituency 20,92360,North West
North West Constituency 21,91191,North West
North West Constituency 22,63085,North West
North West Constituency 23,90806,North West
North West Constituency 24,55376,North West
North West Constituency 25,72225,North West
North West Constituency 26,38260,North West
North West Constituency 27,70070,North West
North West Constituency 28,95639,North West
North West Constituency 29,51471,North West
North West Constituency 30,94227,North West
North West Constituency 31,86118,North West
North West Constituency 32,97714,North West
North West Constituency 33,113956,North West
North West Constituency 34,99536,North West
North West Constituency 35,50082,North West
North West Constituency 36,60626,North West
North West Constituency 37,99735,North West
North West Constituency 38,72988,North West
North West Constituency 39,53459,North West
North West Constituency 40,64001,North West
North West Constituency 41,75040,North West
North West Constituency 42,60349,North West
North West Constituency 43,111346,North West
North West Constituency 44,86078,North West
North West Constituency 45,87117,North West
North West Constituency 46,39693,North West
North West Constituency 47,63746,North West
North West Constituency 48,83750,North West
North West Constituency 49,73452,North West
North West Constituency 50,86908,North West
North West Constituency 51,86531,North West
North West Constituency 52,66361,North West
North West Constituency 53,82039,North West
North West Constituency 54,97284,North West
North West Constituency 55,73845,North West
North West Constituency 56,75475,North West
North West Constituency 57,49341,North West
North West Constituency 58,90476,North West
North West Constituency 59,59631,North West
North West Constituency 60,71559,North West
North West Constituency 61,77065,North West
North West Constituency 62,89994,North West
North West Constituency 63,85391,North West
North West Constituency 64,80137,North West
North West Constituency 65,61450,North West
North West Constituency 66,102584,North West
North West Constituency 67,80065,North West
North West Constituency 68,76643,North West
North West Constituency 69,98099,North West
North West Constituency 70,80685,North West
North West Constituency 71,100864,North West
North West Constituency 72,83105,North West
North West Constituency 73,54517,North West
Yorkshire and The Humber Constituency 1,72346,Yorkshire and The Humber
Yorkshire and The Humber Constituency 2,84993,Yorkshire and The Humber
Yorkshire and The Humber Constituency 3,61672,Yorkshire and The Humber
Yorkshire and The Humber Constituency 4,51310,Yorkshire and The Humber
Yorkshire and The Humber Constituency 5,59840,Yorkshire and The Humber
Yorkshire and The Humber Constituency 6,64041,Yorkshire and The Humber
Yorkshire and The Humber Constituency 7,41776,Yorkshire and The Humber
Yorkshire and The Humber Constituency 8,63185,Yorkshire and The Humber
Yorkshire and The Humber Constituency 9,85502,Yorkshire and The Humber
Yorkshire and The Humber Constituency 10,108639,Yorkshire and The Humber
Yorkshire and The Humber Constituency 11,50214,Yorkshire and The Humber
Yorkshire and The Humber Constituency 12,63687,Yorkshire and The Humber
Yorkshire and The Humber Constituency 13,74720,Yorkshire and The Humber
Yorkshire and The Humber Constituency 14,82492,Yorkshire and The Humber
Yorkshire and The Humber Constituency 15,40502,Yorkshire and The Humber
Yorkshire and The Humber Constituency 16,79200,Yorkshire and The Humber
Yorkshire and The Humber Constituency 17,109253,Yorkshire and The Humber
Yorkshire and The Humber Constituency 18,68856,Yorkshire and The Humber
Yorkshire and The Humber Constituency 19,88935,Yorkshire and The Humber
Yorkshire and The Humber Constituency 20,89786,Yorkshire and The Humber
Yorkshire and The Humber Constituency 21,77215,Yorkshire and The Humber
Yorkshire and The Humber Constituency 22,80198,Yorkshire and The Humber
Yorkshire and The Humber Constituency 23,79879,Yorkshire and The Humber
Yorkshire and The Humber Constituency 24,78861,Yorkshire and The Humber
Yorkshire and The Humber Constituency 25,82152,Yorkshire and The Humber
Yorkshire and The Humber Constituency 26,63898,Yorkshire and The Humber
Yorkshire and The Humber Constituency 27,74236,Yorkshire and The Humber
Yorkshire and The Humber Constituency 28,85366,Yorkshire and The Humber
Yorkshire and The Humber Constituency 29,55919,Yorkshire and The Humber
Yorkshire and The Humber Constituency 30,63707,Yorkshire and The Humber
Yorkshire and The Humber Constituency 31,83973,Yorkshire and The Humber
Yorkshire and The Humber Constituency 32,51081,Yorkshire and The Humber
Yorkshire and The Humber Constituency 33,65796,Yorkshire and The Humber
Yorkshire and The Humber Constituency 34,73097,Yorkshire and The Humber
Yorkshire and The Humber Constituency 35,65890,Yorkshire and The Humber
Yorkshire and The Humber Constituency 36,77733,Yorkshire and The Humber
Yorkshire and The Humber Constituency 37,67193,Yorkshire and The Humber
Yorkshire and The Humber Constituency 38,60672,Yorkshire and The Humber
Yorkshire and The Humber Constituency 39,72891,Yorkshire and The Humber
Yorkshire and The Humber Constituency 40,28955,Yorkshire and The Humber
Yorkshire and The Humber Constituency 41,73570,Yorkshire and The Humber
Yorkshire and The Humber Constituency 42,80808,Yorkshire and The Humber
Yorkshire and The Humber Constituency 43,86449,Yorkshire and The Humber
Yorkshire and The Humber Constituency 44,55583,Yorkshire and The Humber
Yorkshire and The Humber Constituency 45,58695,Yorkshire and The Humber
Yorkshire and The Humber Constituency 46,58851,Yorkshire and The Humber
Yorkshire and The Humber Constituency 47,78667,Yorkshire and The Humber
Yorkshire and The Humber Constituency 48,41512,Yorkshire and The Humber
Yorkshire and The Humber Constituency 49,63692,Yorkshire and The Humber
Yorkshire and The Humber Constituency 50,53566,Yorkshire and The Humber
Yorkshire and The Humber Constituency 51,38341,Yorkshire and The Humber
Yorkshire and The Humber Constituency 52,76870,Yorkshire and The Humber
Yorkshire and The Humber Constituency 53,114969,Yorkshire and The Humber
Yorkshire and The Humber Constituency 54,82207,Yorkshire and The Humber
East Midlands Constituency 1,118291,East Midlands
East Midlands Constituency 2,64713,East Midlands
East Midlands Constituency 3,75086,East Midlands
East Midlands Constituency 4,83290,East Midlands
East Midlands Constituency 5,61263,East Midlands
East Midlands Constituency 6,85789,East Midlands
East Midlands Constituency 7,73821,East Midlands
East Midlands Constituency 8,50380,East Midlands
East Midlands Constituency 9,92473,East Midlands
East Midlands Constituency 10,70433,East Midlands
East Midlands Constituency 11,102240,East Midlands
East Midlands Constituency 12,54583,East Midlands
East Midlands Constituency 13,105200,East Midlands
East Midlands Constituency 14,94380,East Midlands
East Midlands Constituency 15,88828,East Midlands
East Midlands Constituency 16,65513,East Midlands
East Midlands Constituency 17,80928,East Midlands
East Midlands Constituency 18,57754,East Midlands
East Midlands Constituency 19,61995,East Midlands
East Midlands Constituency 20,131943,East Midlands
East Midlands Constituency 21,55382,East Midlands
East Midlands Constituency 22,58231,East Midlands
East Midlands Constituency 23,77718,East Midlands
East Midlands Constituency 24,84526,East Midlands
East Midlands Constituency 25,79643,East Midlands
East Midlands Constituency 26,87234,East Midlands
East Midlands Constituency 27,113037,East Midlands
East Midlands Constituency 28,63865,East Midlands
East Midlands Constituency 29,79506,East Midlands
East Midlands Constituency 30,68129,East Midlands
East Midlands Constituency 31,122185,East Midlands
East Midlands Constituency 32,84554,East Midlands
East Midlands Constituency 33,75023,East Midlands
East Midlands Constituency 34,101797,East Midlands
East Midlands Constituency 35,24580,East Midlands
East Midlands Constituency 36,44200,East Midlands
East Midlands Constituency 37,62832,East Midlands
East Midlands Constituency 38,104707,East Midlands
East Midlands Constituency 39,93692,East Midlands
East Midlands Constituency 40,87038,East Midlands
East Midlands Constituency 41,84215,East Midlands
East Midlands Constituency 42,83113,East Midlands
East Midlands Constituency 43,105198,East Midlands
East Midlands Constituency 44,86366,East Midlands
East Midlands Constituency 45,71874,East Midlands
East Midlands Constituency 46,103765,East Midlands
East Midlands Constituency 47,121563,East Midlands
West Midlands Constituency 1,75140,West Midlands
West Midlands Constituency 2,42706,West Midlands
West Midlands Constituency 3,63943,West Midlands
West Midlands Constituency 4,90181,West Midlands
West Midlands Constituency 5,59746,West Midlands
West Midlands Constituency 6,42535,West Midlands
West Midlands Constituency 7,75561,West Midlands
West Midlands Constituency 8,68146,West Midlands
West Midlands Constituency 9,74679,West Midlands
West Midlands Constituency 10,66225,West Midlands
West Midlands Constituency 11,43504,West Midlands
West Midlands Constituency 12,107826,West Midlands
West Midlands Constituency 13,104089,West Midlands
West Midlands Constituency 14,90542,West Midlands
West Midlands Constituency 15,58392,West Midlands
West Midlands Constituency 16,103343,West Midlands
West Midlands Constituency 17,73399,West Midlands
West Midlands Constituency 18,49323,West Midlands
West Midlands Constituency 19,68054,West Midlands
West Midlands Constituency 20,92505,West Midlands
West Midlands Constituency 21,57335,West Midlands
West Midlands Constituency 22,35607,West Midlands
West Midlands Constituency 23,92956,West Midlands
West Midlands Constituency 24,66661,West Midlands
West Midlands Constituency 25,82473,West Midlands
West Midlands Constituency 26,94443,West Midlands
West Midlands Constituency 27,84125,West Midlands
West Midlands Constituency 28,74485,West Midlands
West Midlands Constituency 29,70698,West Midlands
West Midlands Constituency 30,48776,West Midlands
West Midlands Constituency 31,79894,West Midlands
West Midlands Constituency 32,55533,West Midlands
West Midlands Constituency 33,67316,West Midlands
West Midlands Constituency 34,102680,West Midlands
West Midlands Constituency 35,124537,West Midlands
West Midlands Constituency 36,114405,West Midlands
West Midlands Constituency 37,71837,West Midlands
West Midlands Constituency 38,85173,West Midlands
West Midlands Constituency 39,84555,West Midlands
West Midlands Constituency 40,66584,West Midlands
West Midlands Constituency 41,70617,West Midlands
West Midlands Constituency 42,68726,West Midlands
West Midlands Constituency 43,108086,West Midlands
West Midlands Constituency 44,52992,West Midlands
West Midlands Constituency 45,62654,West Midlands
West Midlands Constituency 46,36515,West Midlands
West Midlands Constituency 47,101703,West Midlands
West Midlands Constituency 48,84782,West Midlands
West Midlands Constituency 49,77592,West Midlands
West Midlands Constituency 50,87611,West Midlands
West Midlands Constituency 51,46830,West Midlands
West Midlands Constituency 52,69234,West Midlands
West Midlands Constituency 53,76158,West Midlands
West Midlands Constituency 54,53592,West Midlands
West Midlands Constituency 55,59694,West Midlands
West Midlands Constituency 56,83536,West Midlands
West Midlands Constituency 57,91045,West Midlands
East of England Constituency 1,106106,East of England
East of England Constituency 2,104787,East of England
East of England Constituency 3,69853,East of England
East of England Constituency 4,99423,East of England
East of England Constituency 5,64447,East of England
East of England Constituency 6,68358,East of England
East of England Constituency 7,60928,East of England
East of England Constituency 8,32201,East of England
East of England Constituency 9,47089,East of England
East of England Constituency 10,55269,East of England
East of England Constituency 11,112721,East of England
East of England Constituency 12,22605,East of England
East of England Constituency 13,59221,East of England
East of England Constituency 14,101840,East of England
East of England Constituency 15,62259,East of England
East of England Constituency 16,103916,East of England
East of England Constituency 17,77831,East of England
East of England Constituency 18,56685,East of England
East of England Constituency 19,61262,East of England
East of England Constituency 20,47676,East of England
East of England Constituency 21,83377,East of England
East of England Constituency 22,76480,East of England
East of England Constituency 23,98069,East of England
East of England Constituency 24,85969,East of England
East of England Constituency 25,58931,East of England
East of England Constituency 26,88524,East of England
East of England Constituency 27,55859,East of England
East of England Constituency 28,47251,East of England
East of England Constituency 29,99791,East of England
East of England Constituency 30,50990,East of England
East of England Constituency 31,56858,East of England
East of England Constituency 32,77053,East of England
East of England Constituency 33,41173,East of England
East of England Constituency 34,91549,East of England
East of England Constituency 35,93089,East of England
East of England Constituency 36,87125,East of England
East of England Constituency 37,77456,East of England
East of England Constituency 38,79831,East of England
East of England Constituency 39,70718,East of England
East of England Constituency 40,75889,East of England
East of England Constituency 41,86755,East of England
East of England Constituency 42,43573,East of England
East of England Constituency 43,120023,East of England
East of England Constituency 44,97958,East of England
East of England Constituency 45,54941,East of England
East of England Constituency 46,59638,East of England
East of England Constituency 47,81012,East of England
East of England Constituency 48,88704,East of England
East of England Constituency 49,46280,East of England
East of England Constituency 50,75124,East of England
East of England Constituency 51,87397,East of England
East of England Constituency 52,57031,East of England
East of England Constituency 53,60718,East of England
East of England Constituency 54,70455,East of England
East of England Constituency 55,75477,East of England
East of England Constituency 56,62228,East of England
East of England Constituency 57,98035,East of England
East of England Constituency 58,75307,East of England
East of England Constituency 59,69965,East of England
East of England Constituency 60,76669,East of England
East of England Constituency 61,36444,East of England
London Constituency 1,92132,London
London Constituency 2,63671,London
London Constituency 3,61921,London
London Constituency 4,14629,London
London Constituency 5,94343,London
London Constituency 6,108698,London
London Constituency 7,72940,London
London Constituency 8,79387,London
London Constituency 9,46032,London
London Constituency 10,77882,London
London Constituency 11,57746,London
London Constituency 12,106095,London
London Constituency 13,60776,London
London Constituency 14,71623,London
London Constituency 15,68285,London
London Constituency 16,80229,London
London Constituency 17,96359,London
London Constituency 18,40312,London
London Constituency 19,78953,London
London Constituency 20,95460,London
London Constituency 21,53720,London
London Constituency 22,59259,London
London Constituency 23,106604,London
London Constituency 24,118854,London
London Constituency 25,85938,London
London Constituency 26,96311,London
London Constituency 27,87455,London
London Constituency 28,63495,London
London Constituency 29,46860,London
London Constituency 30,83123,London
London Constituency 31,121973,London
London Constituency 32,78815,London
London Constituency 33,74086,London
London Constituency 34,55881,London
London Constituency 35,80291,London
London Constituency 36,69100,London
London Constituency 37,74160,London
London Constituency 38,86527,London
London Constituency 39,60534,London
London Constituency 40,96464,London
London Constituency 41,75877,London
London Constituency 42,84595,London
London Constituency 43,58712,London
London Constituency 44,109434,London
London Constituency 45,83582,London
London Constituency 46,58279,London
London Constituency 47,81336,London
London Constituency 48,46830,London
London Constituency 49,76775,London
London Constituency 50,76697,London
London Constituency 51,88787,London
London Constituency 52,97985,London
London Constituency 53,48833,London
London Constituency 54,77868,London
London Constituency 55,77560,London
London Constituency 56,60911,London
London Constituency 57,63478,London
London Constituency 58,72940,London
London Constituency 59,74661,London
London Constituency 60,65921,London
London Constituency 61,98766,London
London Constituency 62,75037,London
London Constituency 63,129009,London
London Constituency 64,56689,London
London Constituency 65,107099,London
London Constituency 66,78787,London
London Constituency 67,65244,London
London Constituency 68,62163,London
London Constituency 69,69254,London
London Constituency 70,53673,London
London Constituency 71,97149,London
London Constituency 72,77571,London
London Constituency 73,75692,London
London Constituency 74,82587,London
London Constituency 75,104146,London
South East Constituency 1,97495,South East
South East Constituency 2,80171,South East
South East Constituency 3,62649,South East
South East Constituency 4,91413,South East
South East Constituency 5,34841,South East
South East Constituency 6,55299,South East
South East Constituency 7,65683,South East
South East Constituency 8,72254,South East
South East Constituency 9,85151,South East
South East Constituency 10,66597,South East
South East Constituency 11,76535,South East
South East Constituency 12,87454,South East
South East Constituency 13,62856,South East
South East Constituency 14,59066,South East
South East Constituency 15,94645,South East
South East Constituency 16,77438,South East
South East Constituency 17,82842,South East
South East Constituency 18,47787,South East
South East Constituency 19,114562,South East
South East Constituency 20,71630,South East
South East Constituency 21,57340,South East
South East Constituency 22,77565,South East
South East Constituency 23,50447,South East
South East Constituency 24,44741,South East
South East Constituency 25,66374,South East
South East Constituency 26,91140,South East
South East Constituency 27,64920,South East
South East Constituency 28,68278,South East
South East Constituency 29,34698,South East
South East Constituency 30,81054,South East
South East Constituency 31,50442,South East
South East Constituency 32,88826,South East
South East Constituency 33,60613,South East
South East Constituency 34,71321,South East
South East Constituency 35,52327,South East
South East Constituency 36,62303,South East
South East Constituency 37,80792,South East
South East Constituency 38,84003,South East
South East Constituency 39,100088,South East
South East Constituency 40,102976,South East
South East Constituency 41,43388,South East
South East Constituency 42,98467,South East
South East Constituency 43,66628,South East
South East Constituency 44,73398,South East
South East Constituency 45,80500,South East
South East Constituency 46,53991,South East
South East Constituency 47,90011,South East
South East Constituency 48,59718,South East
South East Constituency 49,37984,South East
South East Constituency 50,48041,South East
South East Constituency 51,41454,South East
South East Constituency 52,44410,South East
South East Constituency 53,49795,South East
South East Constituency 54,105942,South East
South East Constituency 55,61734,South East
South East Constituency 56,52173,South East
South East Constituency 57,62567,South East
South East Constituency 58,43860,South East
South East Constituency 59,70482,South East
South East Constituency 60,95606,South East
South East Constituency 61,50351,South East
South East Constituency 62,77142,South East
South East Constituency 63,87042,South East
South East Constituency 64,54746,South East
South East Constituency 65,58526,South East
South East Constituency 66,63498,South East
South East Constituency 67,65560,South East
South East Constituency 68,47946,South East
South East Constituency 69,89797,South East
South East Constituency 70,108499,South East
South East Constituency 71,70993,South East
South East Constituency 72,57287,South East
South East Constituency 73,110180,South East
South East Constituency 74,81393,South East
South East Constituency 75,72251,South East
South East Constituency 76,73505,South East
South East Constituency 77,88094,South East
South East Constituency 78,43696,South East
South East Constituency 79,84310,South East
South East Constituency 80,85143,South East
South East Constituency 81,80605,South East
South East Constituency 82,61971,South East
South East Constituency 83,95264,South East
South East Constituency 84,60699,South East
South East Constituency 85,73095,South East
South East Constituency 86,107708,South East
South East Constituency 87,110515,South East
South East Constituency 88,17051,South East
South East Constituency 89,76774,South East
South East Constituency 90,64821,South East
South East Constituency 91,77090,South East
South West Constituency 1,102605,South West
South West Constituency 2,73980,South West
South West Constituency 3,80921,South West
South West Constituency 4,99422,South West
South West Constituency 5,71903,South West
South West Constituency 6,88270,South West
South West Constituency 7,67591,South West
South West Constituency 8,93295,South West
South West Constituency 9,57119,South West
South West Constituency 10,62097,South West
South West Constituency 11,104516,South West
South West Constituency 12,85597,South West
South West Constituency 13,59159,South West
South West Constituency 14,55668,South West
South West Constituency 15,58324,South West
South West Constituency 16,79753,South West
South West Constituency 17,95968,South West
South West Constituency 18,102395,South West
South West Constituency 19,53779,South West
South West Constituency 20,58388,South West
South West Constituency 21,66203,South West
South West Constituency 22,105942,South West
South West Constituency 23,78048,South West
South West Constituency 24,66670,South West
South West Constituency 25,98307,South West
South West Constituency 26,57650,South West
South West Constituency 27,76234,South West
South West Constituency 28,120332,South West
South West Constituency 29,54201,South West
South West Constituency 30,68662,South West
South West Constituency 31,99949,South West
South West Constituency 32,61479,South West
South West Constituency 33,101032,South West
South West Constituency 34,68917,South West
South West Constituency 35,89080,South West
South West Constituency 36,40679,South West
South West Constituency 37,68562,South West
South West Constituency 38,95712,South West
South West Constituency 39,75258,South West
South West Constituency 40,53295,South West
South West Constituency 41,70986,South West
South West Constituency 42,50582,South West
South West Constituency 43,48745,South West
South West Constituency 44,85281,South West
South West Constituency 45,103515,South West
South West Constituency 46,63345,South West
South West Constituency 47,63779,South West
South West Constituency 48,63965,South West
South West Constituency 49,84140,South West
South West Constituency 50,47204,South West
South West Constituency 51,77337,South West
South West Constituency 52,96319,South West
South West Constituency 53,82329,South West
South West Constituency 54,63584,South West
South West Constituency 55,65623,South West
South West Constituency 56,64862,South West
South West Constituency 57,62519,South West
South West Constituency 58,43460,South West
