constituency,population,region
Constituency 277,47669,Yorkshire and The Humber
Constituency 278,68721,Wales
Constituency 279,101265,Wales
Constituency 280,104197,South East
Constituency 281,84402,North West
Constituency 282,65739,London
Constituency 283,95376,East of England
Constituency 284,77357,North East
Constituency 285,85664,West Midlands
Constituency 286,83902,South East
Constituency 287,82497,North East
Constituency 288,61642,South East
Constituency 289,85182,North West
Constituency 290,106524,South East
Constituency 291,110326,South East
Constituency 292,80358,North East
Constituency 293,23554,South East
Constituency 294,92705,North West
Constituency 295,65073,East Midlands
Constituency 296,80199,Wales
Constituency 297,86009,East of England
Constituency 298,68134,Yorkshire and The Humber
Constituency 299,61748,West Midlands
Constituency 300,46861,West Midlands
Constituency 301,100075,Wales
Constituency 302,65289,East Midlands
Constituency 303,94156,Yorkshire and The Humber
Constituency 304,99533,East of England
Constituency 305,44010,South East
Constituency 306,56063,Scotland
Constituency 307,106340,Wales
Constituency 308,78234,South East
Constituency 309,58560,South West
Constituency 310,92496,West Midlands
Constituency 311,64100,South West
Constituency 312,88880,Scotland
Constituency 313,64062,Scotland
Constituency 314,98081,Yorkshire and The Humber
Constituency 315,96603,London
Constituency 316,104794,South East
Constituency 317,62854,East Midlands
Constituency 318,87568,Wales
Constituency 319,103343,Scotland
Constituency 320,111312,North West
Constituency 321,65986,Yorkshire and The Humber
Constituency 322,75475,South West
Constituency 323,43598,East of England
Constituency 324,77834,London
Constituency 325,85121,East Midlands
Constituency 326,72451,Yorkshire and The Humber
Constituency 327,67432,West Midlands
Constituency 328,73386,East Midlands
Constituency 329,84631,East Midlands
Constituency 330,44274,North East
Constituency 331,56888,North East
Constituency 332,55415,East of England
Constituency 333,89245,Wales
Constituency 334,93820,South West
Constituency 335,99697,Scotland
Constituency 336,59506,Wales
Constituency 337,59276,Wales
Constituency 338,37409,West Midlands
Constituency 339,77913,South West
Constituency 340,79772,West Midlands
Constituency 341,65004,South West
Constituency 342,49858,South East
Constituency 343,59573,North East
Constituency 344,67976,Yorkshire and The Humber
Constituency 345,99172,Yorkshire and The Humber
Constituency 346,39342,West Midlands
Constituency 347,79033,North East
Constituency 348,75435,North East
Constituency 349,117370,East Midlands
Constituency 350,69374,Scotland
Constituency 351,73357,Scotland
Constituency 352,91654,North West
Constituency 353,93304,Wales
Constituency 354,57068,South East
Constituency 355,78733,Wales
Constituency 356,58523,Wales
Constituency 357,68071,Wales
Constituency 358,125257,London
Constituency 359,46558,North East
Constituency 360,74342,Wales
Constituency 361,76593,North East
Constituency 362,86028,Scotland
Constituency 363,49881,Yorkshire and The Humber
Constituency 364,72117,Scotland
Constituency 365,110939,Yorkshire and The Humber
Constituency 366,36236,South East
Constituency 367,57371,East Midlands
Constituency 368,40682,West Midlands
Constituency 369,76020,South East
Constituency 370,60911,London
Constituency 371,73648,London
Constituency 372,144158,Wales
Constituency 373,40607,London
Constituency 374,56929,East of England
Constituency 375,76622,London
Constituency 376,76370,East of England
Constituency 377,53405,North West
Constituency 378,94991,South East
Constituency 379,114640,North East
Constituency 380,88765,London
Constituency 381,92183,Wales
Constituency 382,77235,Wales
Constituency 383,85868,North West
Constituency 384,67545,South West
Constituency 385,104600,London
Constituency 386,54212,West Midlands
Constituency 387,73033,North East
Constituency 388,84426,North West
Constituency 389,85691,North West
Constituency 390,101397,North West
Constituency 391,76606,London
Constituency 392,92858,Wales
Constituency 393,68746,North East
Constituency 394,53350,South East
Constituency 395,61656,Wales
Constituency 396,88737,Wales
Constituency 397,96144,London
Constituency 398,114531,West Midlands
Constituency 399,78235,East of England
Constituency 400,83706,North West
Constituency 401,98190,North East
Constituency 402,70425,London
Constituency 403,78205,Scotland
Constituency 404,63289,West Midlands
Constituency 405,54050,Scotland
Constituency 406,79396,London
Constituency 407,64854,North West
Constituency 408,62803,Yorkshire and The Humber
Constituency 409,45200,Yorkshire and The Humber
Constituency 410,78277,Scotland
Constituency 411,85090,North West
Constituency 412,43915,London
Constituency 413,92760,East of England
Constituency 414,64061,North East
Constituency 415,65036,Wales
Constituency 416,90328,North East
Constituency 417,74456,East of England
Constituency 418,85220,East of England
Constituency 419,38406,South East
Constituency 420,109905,London
Constituency 421,61877,East of England
Constituency 422,65045,South West
Constituency 423,53663,East of England
Constituency 424,104556,Wales
Constituency 425,84862,East Midlands
Constituency 426,94986,South East
Constituency 427,69873,North West
Constituency 428,84594,Wales
Constituency 429,75337,Scotland
Constituency 430,45851,South West
Constituency 431,76159,North West
Constituency 432,53468,Scotland
Constituency 433,72775,Yorkshire and The Humber
Constituency 434,86011,London
Constituency 435,60987,West Midlands
Constituency 436,70274,South East
Constituency 437,51739,South East
Constituency 438,58782,North East
Constituency 439,73946,North West
Constituency 440,88085,North West
Constituency 441,15005,East Midlands
Constituency 442,73711,North East
Constituency 443,117648,East Midlands
Constituency 444,57053,London
Constituency 445,73563,London
Constituency 446,95073,North East
Constituency 447,112985,West Midlands
Constituency 448,67178,South East
Constituency 449,86035,East Midlands
Constituency 450,56058,East of England
Constituency 451,88538,Yorkshire and The Humber
Constituency 452,101354,South West
Constituency 453,69673,North West
Constituency 454,85352,Wales
Constituency 455,83264,Wales
Constituency 456,84401,West Midlands
Constituency 457,41668,South East
Constituency 458,41112,London
Constituency 459,90805,South East
Constituency 460,71609,Yorkshire and The Humber
Constituency 461,62966,London
Constituency 462,99779,London
Constituency 463,83602,South West
Constituency 464,54267,Scotland
Constituency 465,63766,London
Constituency 466,79885,East Midlands
Constituency 467,85672,Yorkshire and The Humber
Constituency 468,57584,London
Constituency 469,121369,West Midlands
Constituency 470,43497,East of England
Constituency 471,45776,East Midlands
Constituency 472,55383,London
Constituency 473,68114,North East
Constituency 474,79052,South East
Constituency 475,75400,North West
Constituency 476,87352,East Midlands
Constituency 477,66640,North West
Constituency 478,53490,West Midlands
Constituency 479,78161,North West
Constituency 480,41652,West Midlands
Constituency 481,59421,West Midlands
Constituency 482,62570,West Midlands
Constituency 483,41100,West Midlands
Constituency 484,73715,Wales
Constituency 485,84631,Yorkshire and The Humber
Constituency 486,60325,East Midlands
Constituency 487,68603,South East
Constituency 488,59268,London
Constituency 489,71407,South West
Constituency 490,92853,South West
Constituency 491,112003,West Midlands
Constituency 492,46595,South West
Constituency 493,101257,East Midlands
Constituency 494,76456,Yorkshire and The Humber
Constituency 495,81329,North East
Constituency 496,52710,East Midlands
Constituency 497,45058,Yorkshire and The Humber
Constituency 498,84501,North West
Constituency 499,92422,London
Constituency 500,106276,South West
